# # # eindeutige Ortsbezeichnungen;
Sa.-Anh.;Sachsen-Anhalt
Sach.-A.;Sachsen-Anhalt
Sach.-Anh.;Sachsen-Anhalt
Sachs.-A.;Sachsen-Anhalt
Sachs.-Anh.;Sachsen-Anhalt
Sachsen-A.;Sachsen-Anhalt
Sachsen-Anh.;Sachsen-Anhalt
Sachsen A.;Sachsen-Anhalt
Sachsen Anh.;Sachsen-Anhalt
S.-W.-E.;Sachsen-Weimar-Eisenach
S. Weimar E.;Sachsen-Weimar-Eisenach
S.-Weimar-E.;Sachsen-Weimar-Eisenach
Sa. Weimar;Sachsen-Weimar
Sa.-Weimar;Sachsen-Weimar
S. M.;Sachsen-Meiningen
S.-M.;Sachsen-Meiningen
Sachsen M.;Sachsen-Meiningen
S.-Meiningen;Sachsen-Meiningen
Sa.-Meiningen;Sachsen-Meiningen
Sachsen Mein.;Sachsen-Meiningen
Sachsen-Mein.;Sachsen-Meiningen
Sa.-;Sachsen-
Sa.;Sachsen
Sach.;Sachsen
Sachs.;Sachsen
Sächs.;Sächsisch
Saalkr.;Saalekreis
Saalkrs.;Saalekreis
Sangerh.;Sangerhausen
Seekr.;Seekreis
Siegkr.;Siegkreis
Süd.-Ditm.;Süderdithmarschen
Süd.-Dithm.;Süderdithmarschen
Sd.-Dithm.;Süderdithmarschen
Süd. Dithm.;Süderdithmarschen
S. Dithmarschen;Süderdithmarschen
Süd. Dithmarschen;Süderdithmarschen
Süd.-Dithmarschen;Süderdithmarschen
Süderdithmarsch.;Süderdithmarschen
Süderdithm.;Süderdithmarschen
Sond.;Sondershausen
Sonderh.;Sondershausen
Sondersh.;Sondershausen
Sondershaus.;Sondershausen
Sch.-Lippe;Schaumburg-Lippe
Schaumburg-L.;Schaumburg-Lippe
Schaumb.;Schaumburg
Schaumbg.;Schaumburg
Schlesw.;Schleswig
Schleswig-H.;Schleswig-Holstein
Schleswig-Hol.;Schleswig-Holstein
Strel.;Strelitz
Schw.;Schwerin
Schwer.;Schwerin
Schwäb.;Schwäbisch
Stork.;Storkow
Straßb.;Straßburg
Straßbg.;Straßburg
Tauberbischofsh.;Tauberbischofsheim
Taunuskr.;Taunuskreis
Teckl.;Tecklenburg
Tecklb.;Tecklenburg
Tecklbg.;Tecklenburg
Tecklenb.;Tecklenburg
Tecklenbg.;Tecklenburg
Th.;Thüringen
Thr.;Thüringen
Thür.;Thüringen
Thüring.;Thüringen
Uckerm.;Uckermark
Unt.;Unter
Ufr.;Unterfranken
Untfr.;Unterfranken
Unterfr.;Unterfranken
Unterlahnkr.;Unterlahnkreis
Untertaunuskr.;Untertaunuskreis
Unterwesterw.;Unterwesterwaldkreis
Unterwesterwaldkr.;Unterwesterwaldkreis
U. Westerwald;Unterwesterwaldkreis
Used.;Usedom
Vgtl.;Vogtland
Vgtld.;Vogtland
Vogtl.;Vogtland
Voigtl.;Vogtland
Vogtld.;Vogtland
Waldenb.;Waldenburg
Waldenbg.;Waldenburg
Wartenb.;Wartenberg
Wartenbg.;Wartenberg
Weimar E.;Weimar-Eisenach
Weimar-E.;Weimar-Eisenach
Weim.;Weimar
Wend.;Wendisch
Westf.;Westfalen
Westkr.;Westkreis
W. Preußen;Westpreußen
W.-Preußen;Westpreußen
Wpr.;Westpreußen
Wstpr.;Westpreußen
Westpr.;Westpreußen
Westprign.;Westprignitz
Westerw.;Westerwald
Westhavelld.;Westhavelland
Wttbg.;Württemberg
Wttmb.;Württemberg
Wttmbg.;Württemberg
Wrttb.;Württemberg
Wrttbg.;Württemberg
Württg.;Württemberg
Wüttb.;Württemberg
Wüttbg.;Württemberg
Würtb.;Württemberg
Würtbg.;Württemberg
Württ.;Württemberg
Württb.;Württemberg
Württbg.;Württemberg
Württemb.;Württemberg
Württembg.;WÃürttemberg
# # # weitere Abkürzungen;
a. d. ;an der 
a. ;am 
b. d. ;bei der 
b. ;bei 
i. ;im 
o. d. ;ob der 
v. d. ;von der 
str.;straße
Str.;Straße
# # # Flüsse ;
Brz.;Brenz
Elz.;Elsenz
Katzb.;Katzbach
Lde.;Lumda
Mos.;Mosel
Pers.;Persante
Unstr.;Unstrut
Wes.;Weser
Rh.;Rhein
# # # Länder;
Belg.;Belgien
Dt.-;Deutsch-
Dt.;Deutsch
Dtsch.-;Deutsch-
Dtsch.;Deutsch
Engl.;England
Brit.;Großbritannien
Franz.-;Französisch-
Franz.;Französisch
Fr.-;Französisch-
Fr.;Französisch
Frankr.;Frankreich
