textual_id,longitude,latitude,content
CH_adm1005,NULL,NULL,See
CH_adm1004,NULL,NULL,Sarine
CH_adm1006,NULL,NULL,Sense
CH_adm0900,NULL,NULL,Zug
CH_adm1105,NULL,NULL,Gösgen
CH_adm1104,NULL,NULL,Dorneck
CH_adm1101,NULL,NULL,Gäu
CH_adm1108,NULL,NULL,Olten
CH_adm1109,NULL,NULL,Solothurn
CH_adm1102,NULL,NULL,Thal
CH_adm1110,NULL,NULL,Thierstein
CH_adm1106,NULL,NULL,Wasseramt
CH_adm1103,NULL,NULL,Bucheggberg
CH_adm1107,NULL,NULL,Lebern
CH_adm0207,NULL,NULL,Courtelary
CH_adm0215,NULL,NULL,Neuveville
object_395598,NULL,NULL,Delémont
object_395599,NULL,NULL,Franches-Montagnes
CH_adm1401,NULL,NULL,Oberklettgau
CH_adm1402,NULL,NULL,Reiat
CH_adm1403,NULL,NULL,Schaffhausen
CH_adm1404,NULL,NULL,Schleitheim
CH_adm1405,NULL,NULL,Stein
CH_adm1406,NULL,NULL,Unterklettgau
CH_adm1710,NULL,NULL,Neutoggenburg
CH_adm1704,NULL,NULL,Oberrheintal
CH_adm1709,NULL,NULL,Obertoggenburg
CH_adm1702,NULL,NULL,Rorschach
CH_adm1706,NULL,NULL,Sargans
CH_adm1708,NULL,NULL,See
CH_adm1701,NULL,NULL,"St. Gallen"
CH_adm1703,NULL,NULL,Unterrheintal
CH_adm1712,NULL,NULL,Untertoggenburg
CH_adm1705,NULL,NULL,Werdenberg
CH_adm1713,NULL,NULL,Wil
CH_adm1711,NULL,NULL,Alttoggenburg
CH_adm1707,NULL,NULL,Gaster
CH_adm1714,NULL,NULL,Gossau
CH_adm2601,NULL,NULL,Delsberg
CH_adm2602,NULL,NULL,Freiberge
CH_adm2603,NULL,NULL,Pruntrut
CH_adm2301,NULL,NULL,Brig
CH_adm2302,NULL,NULL,Gundis
CH_adm2304,NULL,NULL,Goms
CH_adm2305,NULL,NULL,Ering
CH_adm2306,NULL,NULL,Leuk
CH_adm2307,NULL,NULL,Martinach
CH_adm2311,NULL,NULL,Siders
CH_adm2312,NULL,NULL,Sitten
CH_adm2313,NULL,NULL,Visp
object_283624,NULL,NULL,"Westlich Raron"
CH_adm2309,NULL,NULL,"Östlich Raron"
CH_adm2102,NULL,NULL,"Distretto di Blenio"
CH_adm2104,NULL,NULL,"Distretto di Locarno"
CH_adm2107,NULL,NULL,"Distretto di Riviera"
CH_adm2108,NULL,NULL,"Distretto di Vallemaggia"
CH_adm2103,NULL,NULL,"Distretto di Leventina"
CH_adm2106,NULL,NULL,"Distretto di Mendrisio"
CH_adm1901,NULL,NULL,Aarau
CH_adm1909,NULL,NULL,Rheinfelden
CH_adm1902,NULL,NULL,Baden
CH_adm1908,NULL,NULL,Muri
CH_adm1906,NULL,NULL,Laufenburg
CH_adm1903,NULL,NULL,Bremgarten
CH_adm1905,NULL,NULL,Kulm
CH_adm1907,NULL,NULL,Lenzburg
CH_adm1910,NULL,NULL,Zofingen
CH_adm1904,NULL,NULL,Brugg
CH_adm1911,NULL,NULL,Zurzach
CH_adm2201,NULL,NULL,"District d'Aigle"
CH_adm2202,NULL,NULL,"District d'Aubonne"
CH_adm2206,NULL,NULL,"District de Grandson"
CH_adm2207,NULL,NULL,"District de Lausanne"
CH_adm2208,NULL,NULL,"District de Lavaux"
CH_adm2209,NULL,NULL,"District de Morges"
CH_adm2210,NULL,NULL,"District de Moudon"
CH_adm2212,NULL,NULL,"District d'Orbe"
CH_adm2213,NULL,NULL,"District d'Oron"
CH_adm2215,NULL,NULL,"District du Pays-d'Enhaut"
CH_adm2216,NULL,NULL,"District de Rolle"
CH_adm2217,NULL,NULL,"District de la Vallée"
CH_adm2218,NULL,NULL,"District de Vevey"
CH_adm2219,NULL,NULL,"District d'Yverdon"
CH_adm2203,NULL,NULL,"District d'Avenches"
CH_adm2214,NULL,NULL,"District de Payerne"
CH_adm2205,NULL,NULL,"District d'Echallens"
CH_adm2204,NULL,NULL,"District de Cossonay"
CH_adm2211,NULL,NULL,"District de Nyon"
CH_adm2500,NULL,NULL,Genève
CH_adm1301,NULL,NULL,Arlesheim
CH_adm1302,NULL,NULL,Laufen
CH_adm1303,NULL,NULL,Liestal
CH_adm1304,NULL,NULL,Sissach
CH_adm1305,NULL,NULL,Waldenburg
CH_adm1200,NULL,NULL,"Basel-Stadt (Bezirk)"
CH_adm1501,NULL,NULL,Hinterland
CH_adm1502,NULL,NULL,Mittelland
CH_adm1503,NULL,NULL,Vorderland
object_220139,NULL,NULL,Capellen
object_220141,NULL,NULL,Luxembourg-Campagne
object_220142,NULL,NULL,Mersch
object_220146,NULL,NULL,Esch
object_220145,NULL,NULL,Remich
object_220147,NULL,NULL,Grevenmacher
object_220149,NULL,NULL,Echternach
object_267011,NULL,NULL,Gebweiler
object_267013,NULL,NULL,Rappoltsweiler
object_267012,NULL,NULL,Mülhausen
object_267009,NULL,NULL,Altkirch
object_267014,NULL,NULL,Thann
object_267010,NULL,NULL,Kolmar
object_279896,NULL,NULL,Bolchen
object_279903,NULL,NULL,Metz
object_294776,NULL,NULL,Metz
object_279900,NULL,NULL,Diedenhofen-Ost
object_295047,NULL,NULL,Diedenhofen
object_294775,NULL,NULL,Diedenhofen-West
object_279904,NULL,NULL,Saarburg
object_279905,NULL,NULL,Saargemünd
object_279902,NULL,NULL,Forbach
object_279899,NULL,NULL,Château-Salins
object_386970,NULL,NULL,"Sankt Avold"
object_278570,NULL,NULL,Hagenau
object_278575,NULL,NULL,Zabern
object_278578,NULL,NULL,Schlettstadt
object_266454,NULL,NULL,Straßburg-Stadt
object_278581,NULL,NULL,Weißenburg
object_266453,NULL,NULL,Straßburg-Land
LANDAUJN49BE,NULL,NULL,"Landau in der Pfalz"
LANDAUJN49BE,NULL,NULL,Landau
adm_139278,NULL,NULL,Straubing-Bogen
object_379468,NULL,NULL,Pfarrkirchen
object_378786,NULL,NULL,Eggenfelden
object_386999,NULL,NULL,Dingolfing
object_386995,NULL,NULL,Bogen
object_386946,NULL,NULL,Grafenau
object_379527,NULL,NULL,"Griesbach im Rottal"
adm_139273,NULL,NULL,Kelheim
object_395282,NULL,NULL,Kötzting
adm_139271,NULL,NULL,Deggendorf
object_389338,NULL,NULL,"Landau an der Isar"
adm_139274,NULL,NULL,Landshut
object_395283,NULL,NULL,Mallersdorf
adm_139275,NULL,NULL,Passau
adm_139276,NULL,NULL,Regen
object_395285,NULL,NULL,Rottenburg
object_395286,NULL,NULL,Mainburg
object_354108,NULL,NULL,Straubing
object_395288,NULL,NULL,Viechtach
object_381884,NULL,NULL,Vilsbiburg
object_385228,NULL,NULL,Vilshofen
object_379413,NULL,NULL,Wegscheid
object_379018,NULL,NULL,Wolfstein
adm_139188,NULL,NULL,Starnberg
adm_139187,NULL,NULL,Rosenheim
adm_139173,NULL,NULL,Tölz
adm_139173,NULL,NULL,"Bad Tölz"
adm_139180,NULL,NULL,Garmisch
adm_139189,NULL,NULL,Traunstein
adm_139186,NULL,NULL,"Pfaffenhofen an der Ilm"
object_386981,NULL,NULL,Aichach
object_386985,NULL,NULL,Berchtesgaden
adm_139179,NULL,NULL,Fürstenfeldbruck
adm_139179,NULL,NULL,Bruck
adm_139174,NULL,NULL,Dachau
adm_139175,NULL,NULL,Ebersberg
