,x,y,id
204,8.67,47.65,object_191052
205,8.72,47.62,object_191052
206,8.77,47.63,object_191052
207,8.7906,47.6394,object_191052
208,8.8166667,47.5666667,object_191052
209,8.9,47.5166667,object_191052
210,8.8666667,47.5,object_191052
211,8.85,47.4333333,object_191052
212,8.9166667,47.3833333,object_191052
213,8.9167,47.3333,object_191052
214,8.9167,47.2833,object_191052
215,8.8548,47.2602,object_191052
216,8.7666667,47.25,object_191052
217,8.7,47.2166667,object_191052
218,8.65,47.18,object_191052
219,8.6,47.2166667,object_191052
220,8.52675,47.2276,object_191052
221,8.45,47.2333,object_191052
222,8.41667,47.2333,object_191052
223,8.4,47.2833,object_191052
224,8.4333333,47.35,object_191052
225,8.4166667,47.3833333,object_191052
226,8.4,47.4166667,object_191052
227,8.3867,47.4448,object_191052
228,8.3667,47.5167,object_191052
229,8.959,46.734,object_191069
230,8.9833333,46.75,object_191069
231,9.1,46.75,object_191069
232,9.15,46.7833333,object_191069
233,9.2,46.8,object_191069
234,9.2833333,46.8333333,object_191069
235,9.3333333,46.8,object_191069
236,9.4,46.8333333,object_191069
237,9.4833333,46.85,object_191069
238,9.5166667,46.8833333,object_191069
239,9.5333333,46.9333333,object_191069
240,9.5333333,46.9666667,object_191069
241,9.5166667,47.0166667,object_191069
242,9.5333333,47.0166667,object_191069
243,9.5666667,47.0,object_191069
244,9.65,46.9833333,object_191069
245,9.700668,46.969658,object_191069
246,9.75,46.9166667,object_191069
247,9.8,46.95,object_191069
248,9.86667,46.8667,object_191069
249,9.8333333,46.8166667,object_191069
250,9.8,46.9166667,object_191069
251,9.75,46.9,object_191069
252,9.7,46.8333333,object_191069
253,9.703,46.799,object_191069
254,9.6666667,46.7833333,object_191069
255,9.7,46.7,object_191069
256,9.6833333,46.6666667,object_191069
257,9.8666667,46.5333333,object_191069
258,9.95,46.6,object_191069
259,9.9833333,46.6166667,object_191069
260,10.1,46.7,object_191069
261,10.1,46.7666667,object_191069
262,10.15,46.7833333,object_191069
263,10.2,46.7833333,object_191069
264,10.25,46.7833333,object_191069
265,10.35,46.9333333,object_191069
266,10.3333333,46.8166667,object_191069
267,10.3,46.8,object_191069
268,10.3666667,46.6333333,object_191069
269,10.449,46.61667,object_191069
270,10.4299,46.6,object_191069
271,10.3666667,46.6166667,object_191069
272,10.1166667,46.2666667,object_191069
273,10.05,46.3333333,object_191069
274,9.9,46.4833333,object_191069
275,9.7833333,46.45,object_191069
276,9.65,46.4833333,object_191069
277,9.65,46.4666667,object_191069
278,9.6166667,46.35,object_191069
279,9.5666667,46.3333333,object_191069
280,9.5333333,46.3333333,object_191069
281,9.5166667,46.3333333,object_191069
282,9.6166667,46.5166667,object_191069
283,9.61667,46.55,object_191069
284,9.58333,46.6167,object_191069
285,9.55,46.65,object_191069
286,9.4833333,46.6666667,object_191069
287,9.45,46.6333,object_191069
288,9.4333333,46.6,object_191069
289,9.4333333,46.55,object_191069
290,9.4333333,46.5166667,object_191069
291,9.33,46.41,object_191069
292,9.2166667,46.35,object_191069
293,9.2,46.3,object_191069
294,9.1666667,46.2666667,object_191069
295,9.15,46.25,object_191069
296,9.1333333,46.2333333,object_191069
297,9.1166667,46.2333333,object_191069
298,9.1166667,46.2666667,object_191069
299,9.1166667,46.3,object_191069
300,9.1166667,46.3166667,object_191069
301,9.1166667,46.3333333,object_191069
302,9.1333333,46.3666667,object_191069
303,9.2333333,46.3833333,object_191069
304,9.2,46.5333333,object_191069
305,9.25,46.5333333,object_191069
306,9.29,46.55,object_191069
307,9.32,46.55,object_191069
308,9.3666667,46.5666667,object_191069
309,9.4,46.6333,object_191069
310,9.3666667,46.6833333,object_191069
311,9.3333333,46.75,object_191069
312,9.2666667,46.7833333,object_191069
313,9.2333333,46.7333333,object_191069
314,9.2166667,46.7166667,object_191069
315,9.1333333,46.6833333,object_191069
316,9.1,46.65,object_191069
317,8.959,46.734,object_191069
318,6.7333333,46.6833333,object_191065
319,6.79,46.73,object_191065
320,6.83,46.65,object_191065
321,6.8166667,46.6166667,object_191065
322,6.8,46.6,object_191065
323,6.83,46.52,object_191065
324,6.85,46.52,object_191065
325,6.9,46.53,object_191065
326,6.93,46.58,object_191065
327,6.99,46.62,object_191065
328,7.05,46.59,object_191065
329,7.06,46.53,object_191065
330,7.04,46.5,object_191065
331,7.04,46.49,object_191065
332,7.06,46.5,object_191065
333,7.1,46.56,object_191065
334,7.16,46.62,object_191065
335,7.16,46.63,object_191065
336,7.14,46.7,object_191065
337,7.2,46.7333333,object_191065
338,7.239467,46.716492,object_191065
339,7.28,46.61,object_191065
340,7.303907,46.712124,object_191065
341,7.3,46.75,object_191065
342,7.3,46.8333333,object_191065
343,7.3,46.8666667,object_191065
344,7.3,46.8833,object_191065
345,7.2166667,46.9166667,object_191065
346,7.2166667,46.9833333,object_191065
347,7.15,46.95,object_191065
348,7.1,46.95,object_191065
349,7.0666667,46.95,object_191065
350,7.06667,46.8667,object_191065
351,7.01,46.87,object_191065
352,6.98,46.91,object_191065
353,6.96,46.92,object_191065
354,6.89,46.88,object_191065
355,6.82,46.84,object_191065
356,6.81,46.83,object_191065
357,6.79,46.81,object_191065
358,6.77,46.74,object_191065
359,6.7333333,46.6833333,object_191065
360,8.4167,47.1667,object_191055
361,8.4667,47.2,object_191055
362,8.5167,47.2,object_191055
363,8.5833,47.2,object_191055
364,8.6152,47.1348,object_191055
365,8.5833,47.1333,object_191055
366,8.5167,47.1,object_191055
367,8.4629,47.1322,object_191055
368,8.4167,47.1667,object_191055
369,7.3833333,47.1,object_191066
370,7.45,47.0833333,object_191066
371,7.4666667,47.0833333,object_191066
372,7.5,47.1333333,object_191066
373,7.5666667,47.1666667,object_191066
374,7.6,47.1833333,object_191066
375,7.6166667,47.2,object_191066
376,7.6166667,47.2166667,object_191066
377,7.6166667,47.3,object_191066
378,7.65,47.3166667,object_191066
379,7.6833333,47.3166667,object_191066
